,MAL_ID,Name_x,Japanese name,Type,Genres_x,Producer,Studio,sypnopsis,Voice Actors
12,22,Tennis no Ouji-sama,テニスの王子様,TV,"Action, Comedy, Sports, School, Shounen","['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.","['MinagawaJunko', 'KaidaYuki', 'OkiayuRyoutarou', 'TakahashiHiroki', 'KiyasuKohei', 'OnosakaMasaya', 'TsudaKenjirou', 'KawamotoNaru', 'KondouTakayuki', 'SuwabeJunichi']"
14,24,School Rumble,スクールランブル,TV,"Comedy, Romance, School, Shounen","['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet'],"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.","['TakahashiHiroki', 'HorieYui', 'NotoMamiko', 'KoshimizuAmi', 'ShimizuKaori', 'NabatameHitomi', 'KonishiRyousei', 'KishioDaisuke', 'KawadaShinji', 'NanriYuuka']"
15,25,Sunabouzu,砂ぼうず,TV,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen","['GDH', 'Pony Canyon', 'CBC']",['Gonzo'],"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing.","['SuzukiChihiro', 'SaitouChiwa', 'KotaniTomoko', 'WakamotoNorio', 'OokiTamio', 'SaitouJirou', 'TakatoYasuhiro', 'MasukawaYoichi', 'OokiTamio', 'KamiyaHiroshi']"
16,26,Texhnolyze,TEXHNOLYZE,TV,"Action, Sci-Fi, Psychological, Drama","['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],"Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.","['HagaSatoshi', 'ItouShizuka', 'InoueTakashi', 'TsuchidaHiroshi', 'NikiShizumi', 'KitadeShinya', 'TanakaKajirou', 'HoshiMitsuaki', 'OkadaMitsutoshi', 'NakataJouji']"
17,26,Texhnolyze,TEXHNOLYZE,TV,"Action, Sci-Fi, Psychological, Drama","['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],"Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.","['HagaSatoshi', 'ItouShizuka', 'InoueTakashi', 'TsuchidaHiroshi', 'NikiShizumi', 'KitadeShinya', 'TanakaKajirou', 'HoshiMitsuaki', 'OkadaMitsutoshi', 'NakataJouji']"
19,28,Yakitate!! Japan,焼きたて!! ジャぱん,TV,"Comedy, Shounen","['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],"hile countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution.","['KobayashiYumiko', 'KoyasuTakehito', 'TouchiHiroki', 'SakaguchiShuuhei', 'OtsukaChihiro', 'InoueMarina', 'SakazumeTakayuki', 'SekiTomokazu', 'HoriuchiKenyuu', 'KugimiyaRie']"
20,29,Zipang,ジパング,TV,"Action, Military, Sci-Fi, Historical, Drama, Seinen","['Marvelous', 'TBS']",['Studio Deen'],"ai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. (Source: ANN)","['TouchiHiroki', 'InadaTetsu', 'YaraYuusaku', 'TobayamaBunmei', 'IshizukaUnshou', 'NojimaKenji', 'TatsutaNaoki', 'IsekiYoshiko', 'UedaYuuji', 'KawamotoNaru']"
21,30,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']","In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. Written by Hideaki Anno, Neon Genesis Evangelion is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface...","['MiyamuraYuko', 'OgataMegumi', 'HayashibaraMegumi', 'MitsuishiKotono', 'IshidaAkira', 'HayashibaraMegumi', 'TachikiFumihiko', 'YamaderaKouichi', 'YamaguchiYuriko', 'SekiTomokazu']"
22,31,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,Movie,"Drama, Mecha, Psychological, Sci-Fi","['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']","In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.","['MiyamuraYuko', 'OgataMegumi', 'HayashibaraMegumi', 'MitsuishiKotono', 'IshidaAkira', 'TachikiFumihiko', 'YamaderaKouichi', 'YamaguchiYuriko', 'SekiTomokazu', 'IwanagaTetsuya']"
23,32,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,"Sci-Fi, Dementia, Psychological, Drama, Mecha","['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']","h the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion . With the fate of the universe hanging in the balance, the climactic final battle draws near.","['MiyamuraYuko', 'OgataMegumi', 'HayashibaraMegumi', 'MitsuishiKotono', 'IshidaAkira', 'HayashibaraMegumi', 'TachikiFumihiko', 'YamaderaKouichi', 'YamaguchiYuriko', 'NagasawaMiki']"
